locus	lugar
aequinoctialis	circulus aequinoctialis = ecuador
latitudo	latitud
LATITUDINE	latitud
pars	parte
locatur	localizado
oportet	Conviene
elementa	elementos
rationabile	razonable
commixtus	mezclado
omnino	completamente/en absoluto
Convenientia	confluencia
corrumpentia	corrupción
conservantia	conservación
locorum	de los lugares
fugit	repele
attrahit	atrae
loca	lugares
similia	cosas similares
superficies	superficie
comparationis	relación
habitudine	disposición
tradiderunt	legaron
tractatio	legado
humorum	humor
humidum	húmedo
ORBE	esfera terrestre
scientia naturali	ciencia natural
scire	conocer
continens	continente/que contiene
principium	origen/principio
virtutem	virtud/fuerza/potencia ?
parvo mundo	micromundo
animato	lo animado
esse	ser
virtute	virtud/fuerza/potencia ?
operationem	labor
Propter quod	por lo tanto
probatioribus	reconocidos
largiatur	dar abundantemente
sumitur	afirmar
habitudinem	disposición
indigentia	carencia
virtutibus	virtud/fuerza/potencia ?
invenitur	se encuentra
prohibita	retenida
indigent	requerir
congruos	acorde
universaliter	universalmente
in particulari	en particular
in communi	en lo común/en común
tradere	tratar
complexionis	complexión
deducere	deducir
ambiens	circundante
tangens	tocante/que toca
virtus	virtud/fuerza/potencia ??
factiva	generativa
figura	configuración
consequens	lo que sigue
ostendimus	mostramos
distinctione	diferenciación/distinción ??
convenit	conviene
communiter	en general
concavum	concavidad
contingunt	tener contacto
immutat	alterar
essentiae	esencia
simplicia	simples (cuerpos, elementos, cosas)
composita	compuestos (cuerpos, elementos, cosas)
debetur	deber
determinavimus	establecer
connaturalia	connaturales
contrarietas	contrariedad
relativa	referida a
convalescit	desarrollar
clima	clima
cultura	cultivo
